Student_ID,Name,Email,Phone,Course,Fee_Paid,City,Enrolled_Date,Email_Valid,Category
STU1004,Anitha R,anitha@gmail.com,9000011111,Machine Learning,FALSE,Chennai,2025-04-05,TRUE,chennai_valid_email
STU1008,Kavitha,kavitha99@gmail.com,9988776655,Machine Learning,TRUE,Chennai,2025-01-15,TRUE,chennai_valid_email
STU1011,Arun P,arunp@gmail.com,7788990011,Python,TRUE,Chennai,2025-06-17,TRUE,chennai_valid_email
STU1018,Saranya,saranya22@gmail.com,,Python,TRUE,Chennai,2025-02-11,TRUE,chennai_valid_email
STU1021,Muthu S,muthus@gmail.com,8282828282,Python,TRUE,Chennai,2025-02-24,TRUE,chennai_valid_email
STU1024,Divya P,divyap@yahoo.com,8585858585,Machine Learning,TRUE,Chennai,2025-06-10,TRUE,chennai_valid_email
STU1034,Mala S,malas@yahoo.com,8454545454,Machine Learning,FALSE,Chennai,2025-03-21,TRUE,chennai_valid_email
STU1038,Indira K,indirak@gmail.com,,Machine Learning,TRUE,Chennai,2025-06-01,TRUE,chennai_valid_email
STU1041,Kishore M,kishorem@gmail.com,8010101010,Machine Learning,TRUE,Chennai,2025-02-21,TRUE,chennai_valid_email
STU1044,Rekha N,rekhan@yahoo.com,,Python,TRUE,Chennai,2025-02-05,TRUE,chennai_valid_email
STU1050,Ammu K,ammuk@gmail.com,9787878787,Machine Learning,TRUE,Chennai,2025-02-13,TRUE,chennai_valid_email
STU1001,Manoj K,,9876543210,Python,TRUE,Chennai,2025-05-23,FALSE,chennai_invalid_email
STU1014,Lakshmi,,8811223344,Data Science,TRUE,Chennai,2025-03-07,FALSE,chennai_invalid_email
STU1027,Ramesh M,,7878787878,Python,TRUE,Chennai,2025-03-01,FALSE,chennai_invalid_email
STU1032,Swetha L,,,Data Science,TRUE,Chennai,2025-05-26,FALSE,chennai_invalid_email
STU1047,Ganesh P,,7565656565,Python,TRUE,Chennai,2025-06-27,FALSE,chennai_invalid_email
STU1002,Priya S,priya.s@yahoo.com,MISSING,Machine Learning,FALSE,Coimbatore,2025-05-06,TRUE,other_valid_email
STU1006,Deepa M,deepam@gmail.com,8123456789,Data Science,TRUE,Salem,2025-03-09,TRUE,other_valid_email
STU1010,Nithya R,nithyar@yahoo.com,9765432109,Data Science,FALSE,Madurai,2025-04-25,TRUE,other_valid_email
STU1013,Santhosh V,santhoshv@gmail.com,9900112233,Python,FALSE,Trichy,2025-01-26,TRUE,other_valid_email
STU1015,Vijay S,vijays@yahoo.com,9922334455,Machine Learning,TRUE,Coimbatore,2025-04-24,TRUE,other_valid_email
STU1016,Pooja N,poojan@gmail.com,9090909090,Python,FALSE,UNKNOWN,2025-02-16,TRUE,other_valid_email
